0,1,2,3
551,853,1328,1353
328,660,1149,1390
5,490,533,1089
0,1,1409,1485
172,545,724,1428
162,367,389,1350
16,148,443,1221
947,983,1206,1472
160,300,656,1174
96,210,530,744
98,485,631,1112
321,539,1031,1352
128,268,462,487
425,731,806,869
325,1121,1167,1227
311,570,758,955
675,752,997,1428
80,479,566,599
73,769,825,857
942,958,1273,1485
841,1026,1242,1408
83,312,447,1015
90,233,475,1144
901,904,1238,1285
49,274,631,823
841,881,1184,1201
98,186,252,987
493,661,883,1236
528,781,926,963
24,35,800,1450
168,247,1163,1222
206,520,1063,1110
395,399,1139,1182
169,180,1071,1457
356,779,808,1355
330,830,1046,1158
254,518,1320,1413
248,367,1004,1060
350,916,1100,1210
1055,1271,1329,1358
323,894,901,978
48,911,1307,1364
956,1229,1324,1348
244,348,1141,1463
427,813,1019,1420
523,749,763,1141
50,594,648,1241
1,128,149,1064
115,386,510,995
411,651,691,1055
85,160,294,1429
413,585,761,1443
381,665,1106,1426
824,1022,1212,1237
27,187,559,1435
506,1424,1460,1464
304,358,696,1453
672,755,1229,1493
123,585,1031,1080
128,222,635,1012
1121,1187,1249,1395
387,1280,1377,1390
636,667,745,1436
129,745,983,1461
26,68,480,864
400,705,852,1193
31,67,410,1087
59,63,1403,1433
485,851,1136,1436
19,915,943,1066
433,522,787,1175
1149,1322,1479,1480
288,309,1014,1396
191,343,1406,1409
331,999,1058,1319
417,558,715,1440
81,176,481,1203
561,920,1488,1495
62,394,824,1042
42,734,1035,1392
618,861,1386,1387
174,213,399,1427
818,943,969,1190
36,472,1009,1193
153,275,786,1110
759,847,1318,1374
337,775,957,1096
339,733,1238,1247
260,619,1084,1201
175,330,474,832
848,885,1268,1316
234,973,1168,1446
446,668,990,1105
387,451,642,1084
327,530,1259,1352
339,634,654,1499
179,559,957,1308
37,346,769,1136
614,1229,1266,1400
460,560,747,1212
29,545,884,1324
454,841,1307,1406
717,970,1401,1422
107,191,798,1377
279,929,1308,1328
761,790,1282,1350
453,556,651,1022
39,743,797,1300
100,211,587,1294
617,1356,1382,1449
690,712,1161,1301
216,442,705,930
217,356,833,967
1,192,1058,1226
